strategy,profile,day,timestamp,inventory,cash_gross,cash_net,clean_mid,equity_gross,equity_net,book_state,near_limit
ASH_COATED_OSMIUM_Candidate_E,loose,-2,100,0.0,0.0,0.0,10000.0,0.0,0.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,200,0.0,0.0,0.0,10000.0,0.0,0.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,300,0.0,0.0,0.0,10000.0,0.0,0.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,400,0.0,0.0,0.0,10000.0,0.0,0.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,500,0.0,0.0,0.0,10000.0,0.0,0.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,600,0.0,0.0,0.0,9999.5,0.0,0.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,700,0.0,0.0,0.0,10000.5,0.0,0.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,800,0.0,0.0,0.0,10002.0,0.0,0.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,900,-6.0,59988.0,59988.0,9995.5,15.0,15.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,1000,-6.0,59988.0,59988.0,9999.5,-9.0,-9.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,1100,-6.0,59988.0,59988.0,10001.0,-18.0,-18.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,1200,-6.0,59988.0,59988.0,10001.0,-18.0,-18.0,ask_only,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,1300,-6.0,59988.0,59988.0,10002.5,-27.0,-27.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,1400,-6.0,59988.0,59988.0,10001.0,-18.0,-18.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,1500,-6.0,59988.0,59988.0,10002.0,-24.0,-24.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,1600,-6.0,59988.0,59988.0,10002.0,-24.0,-24.0,bid_only,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,1700,-6.0,59988.0,59988.0,10004.5,-39.0,-39.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,1800,-6.0,59988.0,59988.0,10002.0,-24.0,-24.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,1900,-6.0,59988.0,59988.0,10002.0,-24.0,-24.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,2000,-6.0,59988.0,59988.0,10000.5,-15.0,-15.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,2100,-6.0,59988.0,59988.0,10002.0,-24.0,-24.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,2200,-6.0,59988.0,59988.0,10002.0,-24.0,-24.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,2300,-6.0,59988.0,59988.0,10005.5,-45.0,-45.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,2400,-6.0,59988.0,59988.0,10001.5,-21.0,-21.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,2500,-10.5,105037.5,105037.5,10001.5,21.75,21.75,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,2600,-10.5,105037.5,105037.5,10003.0,6.0,6.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,2700,-10.5,105037.5,105037.5,10004.0,-4.5,-4.5,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,2800,-10.5,105037.5,105037.5,10003.0,6.0,6.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,2900,-10.5,105037.5,105037.5,10003.0,6.0,6.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,3000,-10.5,105037.5,105037.5,10002.0,16.5,16.5,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,3100,-10.5,105037.5,105037.5,10004.0,-4.5,-4.5,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,3200,-10.5,105037.5,105037.5,10005.0,-15.0,-15.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,3300,-10.5,105037.5,105037.5,10004.0,-4.5,-4.5,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,3400,-10.5,105037.5,105037.5,10004.0,-4.5,-4.5,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,3500,-10.5,105037.5,105037.5,10002.5,11.25,11.25,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,3600,-10.5,105037.5,105037.5,10004.0,-4.5,-4.5,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,3700,-10.5,105037.5,105037.5,10002.0,16.5,16.5,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,3800,-10.5,105037.5,105037.5,10003.0,6.0,6.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,3900,-10.5,105037.5,105037.5,10003.0,6.0,6.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,4000,-10.5,105037.5,105037.5,10004.0,-4.5,-4.5,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,4100,-10.5,105037.5,105037.5,10003.5,0.75,0.75,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,4200,-10.5,105037.5,105037.5,10004.5,-9.75,-9.75,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,4300,-10.5,105037.5,105037.5,10006.0,-25.5,-25.5,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,4400,-10.5,105037.5,105037.5,10006.0,-25.5,-25.5,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,4500,-10.5,105037.5,105037.5,10005.0,-15.0,-15.0,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,4600,-10.5,105037.5,105037.5,10006.5,-30.75,-30.75,both_sides,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,4700,-10.5,105037.5,105037.5,10006.5,-30.75,-30.75,ask_only,False
ASH_COATED_OSMIUM_Candidate_E,loose,-2,4800,-10.5,105037.5,105037.5,10001.0,27.0,27.0,both_sides,False
