strategy,signal_day,signal_timestamp,side,liquidity,requested_qty,reference_price,reason,regime,anchor_price,order_price,day,timestamp,qty,fill_price_gross,fill_price_net,fill_price,visible_depth_used,visible_depth_available,slippage_ticks,book_state_at_fill,best_bid_at_fill,best_ask_at_fill,clean_mid_at_fill,fill_source,forced_flat,profile,inventory_after,cash_gross_after,cash_net_after,edge_ticks,fwd_mid_move_1,fwd_mid_move_5,fwd_mid_move_10,signed_mid_move_1,signed_mid_move_5,signed_mid_move_10
ASH_COATED_OSMIUM_Candidate_E,-2,800,sell,passive,15.0,9999.833333333334,normal_passive_sell,normal,10000.0,10005.0,-2,900,6.0,9998.0,9998.0,9998.0,6.0,8.0,0.0,both_sides,9993.0,9998.0,9995.5,move_through,False,loose,-6.0,59988.0,59988.0,-1.8333333333339397,4.0,5.5,6.5,-4.0,-5.5,-6.5
ASH_COATED_OSMIUM_Candidate_E,-2,2400,sell,passive,15.0,10002.02191780822,normal_passive_sell,normal,10001.0,10008.0,-2,2500,4.5,10011.0,10011.0,10011.0,4.5,14.0,0.0,both_sides,9992.0,10011.0,10001.5,trade_touch,False,loose,-10.5,105037.5,105037.5,8.978082191779322,1.5,0.5,1.0,-1.5,-0.5,-1.0
ASH_COATED_OSMIUM_Candidate_E,-2,7900,buy,passive,15.0,10006.1,normal_passive_buy,normal,10004.0,10001.0,-2,8000,4.5,10006.0,10006.0,10006.0,4.5,6.0,0.0,both_sides,10006.0,10013.0,10009.5,move_through,False,loose,-6.0,60010.5,60010.5,0.1000000000003638,-4.5,-4.5,-3.5,-4.5,-4.5,-3.5
ASH_COATED_OSMIUM_Candidate_E,-2,12800,buy,passive,15.0,10009.95,normal_passive_buy,normal,10008.75,10004.0,-2,12900,6.5,10001.0,10001.0,10001.0,6.5,10.0,0.0,bid_only,10001.0,,10009.0,trade_touch,False,loose,0.5,-4996.0,-4996.0,8.950000000000728,0.0,-1.0,0.0,0.0,-1.0,0.0
ASH_COATED_OSMIUM_Candidate_E,-2,14900,sell,passive,15.0,10009.38717948718,normal_passive_sell,normal,10009.0,10015.0,-2,15000,0.5,10016.0,10016.0,10016.0,0.5,10.0,0.0,both_sides,10000.0,10016.0,10008.0,trade_touch,False,loose,0.0,12.0,12.0,6.61282051282069,0.0,-1.0,0.0,-0.0,1.0,-0.0
ASH_COATED_OSMIUM_Candidate_E,-2,15000,sell,passive,15.0,10008.487804878048,normal_passive_sell,normal,10009.0,10014.0,-2,15100,1.25,10016.0,10016.0,10016.0,1.25,15.0,0.0,both_sides,10000.0,10016.0,10008.0,trade_touch,False,loose,-1.25,12532.0,12532.0,7.512195121951663,-1.0,-2.0,-2.0,1.0,2.0,2.0
ASH_COATED_OSMIUM_Candidate_E,-2,15800,buy,passive,15.0,10008.75,normal_passive_buy,normal,10009.0,10003.0,-2,15900,2.75,9995.0,9995.0,9995.0,2.75,25.0,0.0,both_sides,9995.0,10014.0,10004.5,trade_touch,False,loose,1.5,-14954.25,-14954.25,13.75,3.5,0.5,1.0,3.5,0.5,1.0
ASH_COATED_OSMIUM_Candidate_E,-2,17300,sell,passive,15.0,10006.650000000001,normal_passive_sell,normal,10006.75,10012.0,-2,17400,1.5,10014.0,10014.0,10014.0,1.5,10.0,0.0,both_sides,9998.0,10014.0,10006.0,trade_touch,False,loose,0.0,66.75,66.75,7.349999999998545,0.0,0.0,2.5,-0.0,-0.0,-2.5
ASH_COATED_OSMIUM_Candidate_E,-2,23700,sell,passive,15.0,10006.0,normal_passive_sell,normal,10006.0,10011.0,-2,23800,5.25,10003.0,10003.0,10003.0,5.25,7.0,0.0,both_sides,9997.0,10003.0,10000.0,move_through,False,loose,-5.25,52582.5,52582.5,-3.0,5.0,5.0,5.0,-5.0,-5.0,-5.0
ASH_COATED_OSMIUM_Candidate_E,-2,23900,sell,passive,15.0,10007.05,normal_passive_sell,normal,10006.0,10013.0,-2,24000,2.5,10013.0,10013.0,10013.0,2.5,14.0,0.0,both_sides,9997.0,10013.0,10005.0,trade_touch,False,loose,-7.75,77615.0,77615.0,5.950000000000728,0.0,-1.0,0.0,-0.0,1.0,-0.0
